0.200001s 1.50431 Mbps
0.400001s 27.06 Mbps
0.600001s 31.2 Mbps
0.800001s 14.82 Mbps
1s 8.7 Mbps
1.2s 8.58 Mbps
1.4s 0.36 Mbps
1.6s 0.3 Mbps
1.8s 4.92 Mbps
2s 10.62 Mbps
2.2s 21.48 Mbps
2.4s 24.84 Mbps
2.6s 25.26 Mbps
2.8s 25.26 Mbps
3s 25.26 Mbps
3.2s 26.4 Mbps
3.4s 24 Mbps
3.6s 25.14 Mbps
3.8s 25.2 Mbps
4s 25.08 Mbps
4.2s 25.38 Mbps
4.4s 24.9 Mbps
4.6s 25.14 Mbps
4.8s 25.92 Mbps
5s 24.3 Mbps
5.2s 25.08 Mbps
5.4s 25.08 Mbps
5.6s 25.02 Mbps
5.8s 25.8 Mbps
6s 24.36 Mbps
6.2s 25.08 Mbps
6.4s 25.44 Mbps
6.6s 24.66 Mbps
6.8s 25.08 Mbps
7s 25.02 Mbps
7.2s 24.96 Mbps
7.4s 26.04 Mbps
7.6s 23.88 Mbps
7.8s 24.9 Mbps
8s 25.08 Mbps
8.2s 24.9 Mbps
8.4s 25.14 Mbps
8.6s 24.84 Mbps
8.8s 24.9 Mbps
9s 25.92 Mbps
9.2s 24.06 Mbps
9.4s 24.9 Mbps
9.6s 25.08 Mbps
9.8s 24.9 Mbps
10s 25.56 Mbps
10.2s 22.08 Mbps
10.4s 0.96 Mbps
10.6s 19.5 Mbps
10.8s 24.18 Mbps
11s 25.32 Mbps
11.2s 25.26 Mbps
11.4s 25.2 Mbps
11.6s 26.04 Mbps
11.8s 24.3 Mbps
12s 25.14 Mbps
12.2s 25.14 Mbps
12.4s 25.14 Mbps
12.6s 25.74 Mbps
12.8s 24.48 Mbps
13s 25.14 Mbps
13.2s 25.14 Mbps
13.4s 25.02 Mbps
13.6s 25.5 Mbps
13.8s 24.66 Mbps
14s 25.08 Mbps
14.2s 25.32 Mbps
14.4s 24.78 Mbps
14.6s 25.2 Mbps
14.8s 24.9 Mbps
15s 25.08 Mbps
15.2s 25.56 Mbps
15.4s 24.48 Mbps
15.6s 25.02 Mbps
15.8s 25.02 Mbps
16s 24.96 Mbps
16.2s 25.8 Mbps
16.4s 24.12 Mbps
16.6s 24.96 Mbps
16.8s 25.02 Mbps
17s 24.9 Mbps
17.2s 26.1 Mbps
17.4s 23.88 Mbps
17.6s 24.9 Mbps
17.8s 25.08 Mbps
18s 24.9 Mbps
18.2s 26.28 Mbps
18.4s 23.7 Mbps
18.6s 24.9 Mbps
18.8s 25.02 Mbps
19s 24.96 Mbps
19.2s 25.98 Mbps
